CID.N.10.0,POINT_X.N.19.11,POINT_Y.N.19.11,OUt__1IR_s.N.13.11,OUt__2IR_s.N.13.11,OUt__3IR_s.N.13.11,OUt__4IR_s.N.13.11,OUt__5IR_s.N.13.11,OUt__6IR_s.N.13.11,OUt__7IR_s.N.13.11,OUt__8IR_s.N.13.11,OUt__9IR_s.N.13.11,OUt__10IR_.N.13.11,OUt__11IR_.N.13.11,OUt__12IR_.N.13.11,OUt__13IR_.N.13.11,OUt__14IR_.N.13.11,OUt__15IR_.N.13.11,OUt__16IR_.N.13.11,OUt__17IR_.N.13.11,OUt__18IR_.N.13.11,OUt__19IR_.N.13.11,OUt__20IR_.N.13.11,OUt__21IR_.N.13.11,OUt__22IR_.N.13.11,OUt__23IR_.N.13.11,OUt__24IR_.N.13.11,OUt__25IR_.N.13.11,OUt__26IR_.N.13.11,OUt__27IR_.N.13.11,OUt__28IR_.N.13.11,OUt__29IR_.N.13.11,OUt__30IR_.N.13.11,OUt__31IR_.N.13.11,OUt__32IR_.N.13.11,OUt__33IR_.N.13.11,OUt__34IR_.N.13.11,OUt__35IR_.N.13.11,OUt__36IR_.N.13.11,OUt__37IR_.N.13.11,OUt__38IR_.N.13.11,OUt__39IR_.N.13.11,OUt__40IR_.N.13.11,OUt__41IR_.N.13.11,OUt__42IR_.N.13.11,OUt__43IR_.N.13.11,OUt__44IR_.N.13.11,OUt__45IR_.N.13.11,OUt__46IR_.N.13.11,OUt__47IR_.N.13.11,OUt__48IR_.N.13.11,OUt__49IR_.N.13.11,OUt__50IR_.N.13.11,OUt__51IR_.N.13.11,OUt__52IR_.N.13.11,OUt__53IR_.N.13.11,OUt__54IR_.N.13.11,OUt__55IR_.N.13.11,OUt__56IR_.N.13.11,OUt__57IR_.N.13.11,OUt__58IR_.N.13.11,OUt__59IR_.N.13.11,OUt__60IR_.N.13.11,OUt__61IR_.N.13.11,OUt__62IR_.N.13.11,OUt__63IR_.N.13.11,OUt__64IR_.N.13.11,OUt__65IR_.N.13.11,OUt__66IR_.N.13.11,OUt__67IR_.N.13.11,OUt__68IR_.N.13.11,OUt__69IR_.N.13.11,OUt__70IR_.N.13.11,OUt__71IR_.N.13.11,OUt__72IR_.N.13.11,OUt__73IR_.N.13.11,OUt__74IR_.N.13.11,OUt__75IR_.N.13.11,OUt__76IR_.N.13.11,OUt__77IR_.N.13.11,OUt__78IR_.N.13.11,OUt__79IR_.N.13.11,OUt__80IR_.N.13.11,OUt__81IR_.N.13.11,OUt__82IR_.N.13.11,OUt__83IR_.N.13.11,OUt__84IR_.N.13.11,OUt__85IR_.N.13.11,OUt__86IR_.N.13.11,OUt__87IR_.N.13.11,OUt__88IR_.N.13.11,OUt__89IR_.N.13.11,OUt__90IR_.N.13.11,OUt__91IR_.N.13.11,OUt__92IR_.N.13.11,OUt__93IR_.N.13.11,OUt__94IR_.N.13.11,OUt__95IR_.N.13.11,OUt__96IR_.N.13.11,OUt__97IR_.N.13.11,OUt__98IR_.N.13.11,OUt__99IR_.N.13.11,OUt__100IR.N.13.11,OUt__101IR.N.13.11,OUt__102IR.N.13.11,OUt__103IR.N.13.11,OUt__104IR.N.13.11,OUt__105IR.N.13.11
1,97.1805614831,15.0506798902,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,1.34353,0.396921,0.396921,0.235439,0.235439,0.235439,0.235439,0.235439,0.235439,0.213568,0.213568,0.00154225,0.00154225,1.09132,1.09132,1.09132,1.09132,1.09132,1.09132,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0.00154225,0
1,95.6951061273,16.522208039,0.0987559,0.0987559,0.0987559,0.0987559,3.7457,0.0987559,0.0987559,0.0987559,0.0987559,0.0987559,0.0987559,0.0987559,0.0987559,0.0987559,0.0987559,0.0987559,0.0987559,0.0987559,2.33665,2.33665,2.33665,2.33665,0.0987559,0.0987559,10.4764,0.0987559,0.413348,0.413348,6.78142,6.78142,6.78142,6.78142,0.413348,0.84402,0.84402,0.84402,0.84402,0.84402,0.333991,0.333991,0.333991,0.333991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,94.7068728977,14.5452688365,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,0.333288,9.45851,9.45851,9.45851,0.326124,0.326124,0.326124,0.326124,0.326124,0.326124,0.326124,0.326124,0.326124,1.42834,1.42834,1.42834,1.42834,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0.0112092,0
1,94.2125830379,15.37031384,1.19747,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,0.383437,15.8924,15.8924,15.8924,15.8924,7.40048,7.40048,7.40048,0.607275,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0.00976591,0
1,93.8066087536,14.6660810224,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,0.0943545,1.8243,1.8243,1.8243,0.0929964,0.0929964,0.0929964,0.0929964,0.0929964,0.0929964,0.0929964,0.0929964,0.0929964,0.301952,0.301952,0.301952,0.301952,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0.0332955,0
1,94.2646842868,15.8516657473,1.70504,0.108982,0.108982,0.108982,0.0676776,0.0676776,0.0676776,0.0676776,0.0676776,0.0676776,0.0676776,0.324144,0.324144,0.289724,0.289724,0.289724,1.05912,1.05912,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0.0332574,0
1,96.7623073304,15.8969690613,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.00828,3.59117,3.59117,3.59117,2.9277,2.9277,2.9277,2.9277,2.00125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,94.6490975131,15.0330055413,1.37174,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,0.557651,25.6709,25.6709,25.6709,25.6709,11.7526,11.7526,11.7526,0.61845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,96.6597415513,16.113603043,4.58983,2.42216,2.42216,2.42216,2.42216,2.42216,2.42216,2.42216,2.42216,2.42216,2.42216,2.7547,2.7547,2.7547,2.7547,2.7547,3.75232,3.75232,2.42216,2.42216,2.42216,2.42216,2.42216,2.42216,2.42216,2.42216,2.42216,2.42216,2.42216,2.42216,2.42216,2.42216,2.42216,2.42216,2.42216,2.42216,4.57809,4.57809,4.57809,2.1658,2.1658,2.08845,1.07071,0.052222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,97.0036934974,15.7266491179,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.28294,2.14773,2.14773,2.14773,2.14773,1.85703,1.85703,1.8362,1.68961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
